DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,size / dimensions,make / manufacturer,model name / number
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1313:20
",5,https://orangecounty.craigslist.org/grd/d/laguna-niguel-debutante-camellia/7420367273.html,,,,fair,,,,,,,,,,2x2x3,Camellia Japonica,Debutante
"
2021-12-2202:28
",5,https://orangecounty.craigslist.org/grd/d/aliso-viejo-colorful-summer-center/7423816046.html,,,,new,,,,,,,,,,0,0,0
"
2021-12-1709:46
",999,https://orangecounty.craigslist.org/atq/d/newport-beach-japanese-panel-screen/7421968913.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2603:51
",20,https://orangecounty.craigslist.org/clt/d/long-beach-norcrest-fine-china-98-25th/7412746975.html,,,,,,,,,,,,,,0,0,0
"
2021-11-1819:42
",0,https://inlandempire.craigslist.org/for/d/walnut-black-baby-thai-oranda-goldfish/7409902544.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-1820:23
",0,https://inlandempire.craigslist.org/for/d/walnut-red-baby-thai-oranda-goldfish/7409910264.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-12-2308:05
",100,https://inlandempire.craigslist.org/hsh/d/menifee-beautiful-chinese-multicolored/7424292268.html,,,,excellent,,,,,,,,,,0,0,0
"
2021-11-2907:16
",10,https://ventura.craigslist.org/fuo/d/ventura-framed-picture-105x22/7414034338.html,,,,like new,,,,,,,,,,0,0,0
"
2021-12-1918:44
",35,https://santabarbara.craigslist.org/for/d/santa-barbara-blue-peony-by-nikko/7422932726.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1916:18
",160,https://santabarbara.craigslist.org/for/d/santa-barbara-rare-kingfisher-pin-tian/7422895765.html,,,,like new,,,,,,,,,,0,china,0
"
2021-12-1106:30
",0,https://bakersfield.craigslist.org/mad/d/retired-fire-hose-bulk-and-individual/7419364341.html,,,,good,,,,,,,,,,Coasters Boat Dock Bumpers,Animal Enrichment,Battle Ropes
"
2021-12-1009:02
",150,https://bakersfield.craigslist.org/mad/d/unused-faux-leather-rolls-outdoor/7419002451.html,,,,new,,,,,,,,,,Faux Leather Rolls,Poly Vinyl,Fabric
"
2021-12-0708:23
",5,https://bakersfield.craigslist.org/hab/d/bakersfield-avon-bubble-bath/7417638783.html,,,,new,,,,,,,,,,0,0,0
