DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,size / dimensions,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,frame size,handlebar type,suspension,wheel size,length overall (LOA),propulsion type,year manufactured,number available,engine hours (total),media type
"
2021-12-2217:12
",800,https://losangeles.craigslist.org/sfv/for/d/van-nuys-replogle-heirloom-20-statesman/7424135911.html,delivery available,deli,,excellent,,,,,,,,,,"28"" x 28""",Replogle,"Statesman 20""",0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2217:06
",38395,https://losangeles.craigslist.org/lac/ctd/d/irvine-2018-bmw-series-340i-skujk-sedan/7424134164.html,2018 BMW 3 Series,2018,46771,,6 cylinders,rwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0110:01
",0,https://losangeles.craigslist.org/sfv/grd/d/newbury-park-chambeyronia-macrocarpa/7415063265.html,delivery available,deli,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2215:19
",32500,https://losangeles.craigslist.org/wst/ctd/d/cerritos-2018-mercedes-benz-class-300/7424100329.html,2018 Mercedes-Benz C-Class,2018,37651,,4 cylinders,rwd,gas,custom,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1812:42
",299,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-home-sale-from-house-in/7422470555.html,delivery available,deli,,excellent,,,,,,,,,,mens regular,Bulova,Dive Master 500,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2215:15
",33998,https://losangeles.craigslist.org/sgv/ctd/d/valencia-2018-mercedes-benz-class-300/7424098904.html,2018 Mercedes-Benz C-Class,2018,31861,,4 cylinders,rwd,gas,black,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2214:55
",300,https://losangeles.craigslist.org/sfv/fuo/d/van-nuys-solid-teak-outdoor-bench-other/7424091641.html,delivery available,deli,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2212:15
",47795,https://losangeles.craigslist.org/lac/ctd/d/buena-park-2019-lexus-rx-350l-rx-350l/7424026009.html,2019 Lexus RX 350L,2019,30287,,6 cylinders,fwd,gas,white,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2110:58
",350,https://losangeles.craigslist.org/sfv/bab/d/tarzana-fun-kids-twin-bed-loft/7423586471.html,delivery available,deli,,excellent,,,,,,,,,,"78""x41""x43""",Donco,Twin Low Loft Bed,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2210:25
",31995,https://losangeles.craigslist.org/sgv/ctd/d/valencia-2018-bmw-series-330i/7423973039.html,2018 BMW 3 Series,2018,34929,,4 cylinders,rwd,gas,grey,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:54
",37950,https://losangeles.craigslist.org/lac/ctd/d/newport-beach-2019-alfa-romeo-stelvio/7423957206.html,2019 Alfa Romeo Stelvio,2019,20054,,4 cylinders,rwd,gas,grey,mid-size,clean,automatic,wagon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:40
",40985,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2019-ford-150-xlt-skukke50838/7423950402.html,2019 Ford F-150,2019,33068,,6 cylinders,rwd,gas,black,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1821:18
",450,https://losangeles.craigslist.org/sgv/fuo/d/duarte-ikea-friheten-sleeper-sectional/7422613146.html,,,,like new,,,,,,,,,,0,IKEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:34
",44500,https://losangeles.craigslist.org/lac/ctd/d/newport-beach-2018-mercedes-benz-class/7423947204.html,2018 Mercedes-Benz C-Class,2018,40320,,6 cylinders,4wd,gas,black,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2209:11
",350,https://losangeles.craigslist.org/wst/fuo/d/inglewood-custom-hollywood-sectional/7423935556.html,,,,good,,,,,,,,,,120 x 75 x 26,Sofa U Love,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2008:04
",400,https://losangeles.craigslist.org/lgb/app/d/jura-capresso-c1000-automatic-espresso/7423075499.html,,,,excellent,,,,,,,,,,0,Jura,C1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2208:53
",13450,https://losangeles.craigslist.org/sgv/ctd/d/valencia-2014-toyota-prius-three-skue/7423925718.html,2014 Toyota Prius v,2014,120613,,4 cylinders,fwd,hybrid,custom,mid-size,clean,automatic,wagon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2207:55
",36980,https://losangeles.craigslist.org/lac/ctd/d/buena-park-2019-mercedes-benz-glc-glc/7423895830.html,2019 Mercedes-Benz GLC,2019,38187,,4 cylinders,rwd,gas,white,compact,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0511:10
",30,https://losangeles.craigslist.org/lac/grd/d/los-angeles-baby-cereus-peruvianus/7416838151.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2205:20
",9998,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2015-jeep-patriot-sport-skufd/7423838894.html,2015 Jeep Patriot,2015,114419,,4 cylinders,fwd,gas,silver,compact,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2203:13
",29625,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-mercedes-benz-class-300/7423819498.html,2018 Mercedes-Benz C-Class,2018,35412,,4 cylinders,rwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2200:03
",29999,https://losangeles.craigslist.org/lac/ctd/d/buena-park-2018-bmw-i3-skujvb87590/7423807150.html,2018 BMW i3,2018,29297,,,rwd,other,white,sub-compact,clean,automatic,hatchback,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1600:50
",24,https://losangeles.craigslist.org/sfv/hsh/d/tarzana-blue-cream-floral-canvas-wall/7421400695.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1509:29
",245,https://losangeles.craigslist.org/sfv/clt/d/rare-1940s-longwy-france-ceramic-cup/7421120579.html,,,,excellent,,,,,,,,,,0,Longwy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2400:31
",2699,https://losangeles.craigslist.org/wst/clt/d/san-diego-prime-studio-exclusive-ex/7412078255.html,cryptocurrency ok,cryp,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2118:08
",25495,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2014-dodge-challenger-t/7423754278.html,2014 Dodge Challenger R/T,2014,65018,,8 cylinders,rwd,gas,black,,clean,automatic,coupe,2C3CDYBT9EH177032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2118:08
",9395,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2004-chrysler-crossfire/7423754215.html,2004 Chrysler Crossfire,2004,105787,,6 cylinders,rwd,gas,blue,,clean,automatic,hatchback,1C3AN69L94X001834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2118:08
",6495,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2008-dodge-charger-fresh/7423754150.html,2008 Dodge Charger,2008,165402,,6 cylinders,rwd,gas,black,,clean,automatic,sedan,2B3KA43R78H114495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1623:14
",399,https://losangeles.craigslist.org/sfv/fuo/d/woodland-hills-white-metal-shelves/7421811355.html,delivery available,deli,,new,,,,,,,,,,78”x30”x78”,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1821:33
",55,https://losangeles.craigslist.org/sfv/clo/d/sunland-oakley-flak-jacket-10-lenses/7422615014.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1621:40
",399,https://losangeles.craigslist.org/sfv/fuo/d/woodland-hills-nice-wood-high-back/7421801382.html,delivery available,deli,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0513:51
",399,https://losangeles.craigslist.org/sfv/tls/d/woodland-hills-new-white-commercial/7416910917.html,delivery available,deli,,new,,,,,,,,,,78x30x72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1512:05
",65,https://losangeles.craigslist.org/sgv/clt/d/glendora-exquisite-benjarong-thai/7421204536.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1507:35
",500,https://losangeles.craigslist.org/lgb/app/d/jura-capresso-c1500-automatic-espresso/7421059660.html,,,,excellent,,,,,,,,,,0,Jura Capresso,C1500,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2115:34
",41480,https://losangeles.craigslist.org/lgb/ctd/d/tustin-2019-ford-150-xl-skukfa17406/7423707529.html,2019 Ford F-150,2019,6505,,6 cylinders,rwd,gas,black,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2114:25
",49985,https://losangeles.craigslist.org/sgv/ctd/d/foothill-ranch-2019-toyota-tundra-sr5/7423681617.html,2019 Toyota Tundra,2019,36635,,8 cylinders,4wd,gas,grey,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2114:09
",81987,https://losangeles.craigslist.org/wst/ctd/d/tustin-2019-lexus-lx-lx-570-4x4-4wd/7423675229.html,2019 Lexus LX 570,2019,14823,,8 cylinders,4wd,gas,white,full-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:35
",37480,https://losangeles.craigslist.org/sgv/ctd/d/foothill-ranch-2015-gmc-yukon-denali/7423660570.html,2015 GMC Yukon,2015,89689,,8 cylinders,rwd,gas,brown,full-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2113:15
",28295,https://losangeles.craigslist.org/wst/ctd/d/tustin-2018-bmw-series-330i-skujee82896/7423651713.html,2018 BMW 3 Series,2018,28032,,4 cylinders,rwd,gas,silver,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2112:50
",40,https://losangeles.craigslist.org/sfv/tls/d/glendale-mini-electric-air-pump-tire/7423640442.html,,,,new,,,,,,,,,,0,AISHICHEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2112:52
",43995,https://losangeles.craigslist.org/wst/ctd/d/irvine-2018-mercedes-benz-class-300/7423641490.html,2018 Mercedes-Benz C-Class,2018,38754,,4 cylinders,rwd,gas,black,sub-compact,clean,automatic,convertible,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1317:07
",250,https://losangeles.craigslist.org/sgv/fuo/d/west-covina-grey-tufted-chesterfield/7420460927.html,,,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2109:42
",44995,https://losangeles.craigslist.org/wst/ctd/d/irvine-2013-toyota-fj-cruiser-4x4-4wd/7423546827.html,2013 Toyota FJ Cruiser,2013,26614,,6 cylinders,4wd,gas,brown,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0510:37
",0,https://losangeles.craigslist.org/wst/atq/d/modesto-tribal-art-west-papua-asmat/7416822420.html,,,,,,,,,,,,,,27 inches high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2108:17
",12595,https://losangeles.craigslist.org/lgb/ctd/d/torrance-2014-jeep-patriot-altitude/7423501479.html,2014 Jeep Patriot,2014,80007,,4 cylinders,fwd,gas,white,compact,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0707:36
",45,https://losangeles.craigslist.org/sgv/snw/d/covina-4inch-cube-led-light-pods-triple/7417613211.html,,,,new,,,,,,,,,,0,Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2107:01
",8,https://losangeles.craigslist.org/lgb/pts/d/lakewood-vintage-arco-motor-oil-with/7423465920.html,,,,good,,,,,,,,,,0,Arco,Graphite Oil,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2106:56
",22595,https://losangeles.craigslist.org/wst/ctd/d/torrance-2017-chrysler-skuhh-sedan/7423464017.html,2017 Chrysler 300,2017,63820,,6 cylinders,rwd,gas,black,full-size,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2104:49
",41395,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-ford-mustang-gt-premium/7423425319.html,2018 Ford Mustang,2018,18736,,8 cylinders,rwd,gas,blue,sub-compact,clean,manual,coupe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2103:26
",15995,https://losangeles.craigslist.org/wst/ctd/d/torrance-2019-chevrolet-sonic-premier/7423413523.html,2019 Chevrolet Sonic,2019,57575,,4 cylinders,fwd,gas,white,compact,clean,automatic,sedan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0807:45
",25,https://losangeles.craigslist.org/sgv/for/d/la-puente-pcs-outdoor-solar-lights-with/7418071696.html,delivery available,deli,,new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0113:55
",85,https://losangeles.craigslist.org/wst/hsh/d/los-angeles-rolling-duffel-travel/7415189011.html,,,,like new,,,,,,,,,,"25"" x 15"" x 10""",Chiao,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-11-2121:39
",30,https://losangeles.craigslist.org/wst/clo/d/culver-city-anne-klein-jean-vintage/7411181484.html,,,,like new,,,,,,,,,,0,Anne Klein,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2019:32
",9495,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2009-toyota-prius/7423363607.html,2009 Toyota Prius Standard,2009,117859,,4 cylinders,fwd,gas,grey,,clean,automatic,hatchback,JTDKB20U193471572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2019:10
",0,https://losangeles.craigslist.org/wst/for/d/beverly-hills-luggage-suitcases/7423358795.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1810:02
",15,https://losangeles.craigslist.org/sgv/ele/d/el-monte-led-integrated-tube-light-or/7422390499.html,,,,new,,,,,,,,,,"48""x1""x1""",Go! LED!,LD-108-48,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2017:27
",16495,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2013-toyota-prius-five/7423332794.html,2013 Toyota Prius v Five,2013,87367,,4 cylinders,fwd,gas,silver,,clean,automatic,wagon,JTDZN3EU9D3246412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2017:27
",9995,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2009-jeep-compass-sport/7423332754.html,2009 Jeep Compass Sport,2009,84334,,4 cylinders,fwd,gas,red,,clean,automatic,SUV,1J4FT47B79D202625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2017:27
",9995,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2005-mercedes-benz-clk-500/7423332736.html,2005 Mercedes-Benz CLK CLK 500,2005,111144,,8 cylinders,rwd,gas,grey,,clean,automatic,convertible,WDBTK75G05T049936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2012:26
",3500,https://losangeles.craigslist.org/lac/fuo/d/rancho-mirage-christmas-sale-mcm/7423215470.html,,,,excellent,,,,,,,,,,0,Knoll,1966 Collection,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0916:48
",7,https://losangeles.craigslist.org/sfv/bks/d/van-nuys-creative-night-by-harold-davis/7418784620.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2009:52
",30695,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-bmw-i3-skujvd97270/7423134510.html,2018 BMW i3,2018,6122,,,rwd,other,grey,sub-compact,clean,automatic,hatchback,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2009:35
",244,https://losangeles.craigslist.org/lac/bfd/d/santa-fe-springs-easy-assembly-garage/7423125269.html,delivery available,deli,,new,,,,,,,,,,0,Budget Shelves Corp,100 series,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2008:20
",34259,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2018-chevrolet-silverado-1500/7423084111.html,2018 Chevrolet Silverado 1500,2018,51132,,6 cylinders,rwd,gas,grey,full-size,clean,automatic,pickup,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-2006:58
",11970,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2013-toyota-prius-three-skud/7423043169.html,2013 Toyota Prius v,2013,145145,,4 cylinders,fwd,hybrid,custom,mid-size,clean,automatic,wagon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1921:36
",20,https://losangeles.craigslist.org/sgv/hsh/d/walnut-way-modern-style-touch-control/7422963103.html,,,,new,,,,,,,,,,10.63 x 6.34 x 5.94 inches,Sunvook,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1913:49
",100,https://losangeles.craigslist.org/lac/app/d/los-angeles-fettuccine-noodle-maker/7422846500.html,,,,,,,,,,,,,,0,Fettuccine pasta maker,FETTY CHINI\ 100,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1913:01
",23295,https://losangeles.craigslist.org/lac/ctd/d/palm-desert-2019-volkswagen-jetta/7422828150.html,2019 Volkswagen Jetta,2019,33440,,4 cylinders,fwd,gas,,,clean,automatic,sedan,3VWE57BU1KM050984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1912:00
",250,https://losangeles.craigslist.org/sfv/ele/d/van-nuys-spark-drone/7422803264.html,cryptocurrency ok,cryp,,like new,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1912:10
",35,https://losangeles.craigslist.org/ant/fuo/d/coffee-table-end-table/7422807548.html,,,,good,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:21
",160,https://losangeles.craigslist.org/wst/tix/d/los-angeles-san-antonio-spurs-vs-los/7422761534.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"
2021-12-1211:06
",9,https://losangeles.craigslist.org/wst/grd/d/black-sage-ca-native-water-wise-plant/7419880778.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1910:52
",130,https://losangeles.craigslist.org/wst/tix/d/los-angeles-los-angeles-rams-vs-seattle/7422774744.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"
2021-12-1906:16
",41992,https://losangeles.craigslist.org/lac/ctd/d/cerritos-2018-lexus-rx-350l-rx-350l/7422668592.html,2018 Lexus RX 350L,2018,49243,,6 cylinders,fwd,gas,grey,mid-size,clean,automatic,SUV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1821:53
",0,https://losangeles.craigslist.org/wst/bks/d/los-angeles-paperback-books/7422617366.html,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1818:02
",39995,https://losangeles.craigslist.org/sfv/ctd/d/sherman-oaks-2013-chevrolet-silverado/7422578654.html,2013 Chevrolet Silverado 1500 LTZ  -,2013,82450,,8 cylinders,4wd,other,white,,clean,automatic,pickup,3GCPKTE75DG345641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-0507:20
",25,https://losangeles.craigslist.org/sfv/pts/d/north-hollywood-auto-ventshade/7416733616.html,delivery available,deli,,new,,,,,,,,,,0,Auto Ventshade,22132,0,0,0,0,0,0,0,0,0,0,0,0,0
"
2021-12-1308:02
",29995,https://losangeles.craigslist.org/lac/boa/d/seattle-dual-cabins-and-heads-center/7420192347.html,,,,good,,,,,,,,,,0,Irwin,Mk V,0,0,0,0,0,0,0,37,sail,1980,0,1700,0
"
2021-12-0211:52
",180,https://losangeles.craigslist.org/sfv/emd/d/sylmar-dvd-blu-ray-huge-lot/7415576924.html,,,,excellent,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blu-ray
