DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,length overall (LOA),propulsion type,year manufactured
"
2021-12-2218:16
",100,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-eagle-sport-run-flat-good-used/7424152395.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2218:13
",100,https://losangeles.craigslist.org/sfv/wtd/d/lt-bfg-all-terrain-ko-good-used-tires/7424151809.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2218:04
",200,https://losangeles.craigslist.org/sfv/wtd/d/lt-nitto-at-terra-grappler-g2-good-used/7424149774.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2217:37
",200,https://losangeles.craigslist.org/sfv/wtd/d/lt-firestone-transforce-t-good-used/7424142555.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2217:35
",80,https://losangeles.craigslist.org/sfv/wtd/d/dunlop-gran-trek-good-used-tires-van/7424142037.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2117:26
",65,https://inlandempire.craigslist.org/wad/d/corona-wanted-mustang-fastback-mach/7423743098.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2013:33
",30,https://santabarbara.craigslist.org/wtd/d/panorama-city-lowest-prices-on-good/7423247196.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1915:15
",100,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-eagle-sport-run-flat-good-used/7422876471.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1915:14
",160,https://losangeles.craigslist.org/lac/wtd/d/panorama-city-new-14-or-15-passenger/7422876010.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-0509:12
",30,https://losangeles.craigslist.org/sfv/wtd/d/good-used-tires-on-sale-huge-inventory/7416781688.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-0509:16
",1,https://losangeles.craigslist.org/sfv/wtd/d/bfg-nitto-general-best-prices-in-town/7416783584.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1910:52
",1,https://losangeles.craigslist.org/sfv/wtd/d/goodyear-pirelli-kumho-best-prices-in/7422774840.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1910:51
",1,https://losangeles.craigslist.org/sfv/wtd/d/bfgoodrich-michelin-firestone-best/7422774210.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1910:46
",100,https://losangeles.craigslist.org/lac/wtd/d/panorama-city-new-14-or-15-passenger/7422772091.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1910:47
",1,https://losangeles.craigslist.org/lac/wtd/d/panorama-city-dunlop-falken-general/7422772625.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1910:14
",100,https://santabarbara.craigslist.org/wtd/d/panorama-city-goodyear-rs-used-tires/7422758471.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1108:50
",5999,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2012-volkswagen-golf-drive/7419429770.html,2012 volkswagen golf,2012,153000,excellent,4 cylinders,,gas,grey,compact,clean,automatic,hatchback,,0,0,0,0,0,0
"
2021-12-1108:51
",5499,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2009-chrysler-town-and/7419430260.html,2009 chrysler town & country,2009,117000,excellent,6 cylinders,,gas,silver,full-size,clean,automatic,mini-van,,0,0,0,0,0,0
"
2021-12-1808:59
",5499,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2012-hyundai-accent-drive/7422355396.html,2012 hyundai accent,2012,139000,excellent,4 cylinders,fwd,gas,black,compact,clean,automatic,hatchback,,0,0,0,0,0,0
"
2021-12-1108:53
",4499,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2004-toyota-siennapassed/7419431590.html,odometer rolled over,odom,129000,excellent,6 cylinders,fwd,gas,blue,full-size,clean,automatic,mini-van,,0,0,0,0,0,0
"
2021-12-1808:57
",2199,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2002-honda-odyssey-passed/7422354514.html,2002 honda odyssey,2002,173000,excellent,6 cylinders,fwd,gas,silver,full-size,salvage,automatic,mini-van,,0,0,0,0,0,0
"
2021-11-2308:56
",1699,https://losangeles.craigslist.org/lac/sgd/d/new-sided-26-screen-cocktail-arcade/7411781694.html,,,,new,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1112:15
",15990,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2014-honda-pilot-ex/7419541331.html,2014 Honda Pilot,2014,118711,excellent,6 cylinders,4wd,gas,black,,clean,automatic,SUV,5FNYF3H48EB022718,0,0,0,0,0,0
"
2021-11-2714:46
",17988,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2008-ford-super-duty/7413438091.html,2008 Ford Super Duty F-350 SRW,2008,90717,excellent,8 cylinders,rwd,gas,white,,clean,automatic,pickup,1FDSF34518EE56064,0,0,0,0,0,0
"
2021-11-2714:45
",29988,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2015-dodge-challenger/7413437789.html,2015 Dodge Challenger,2015,37890,excellent,6 cylinders,rwd,gas,red,mid-size,clean,automatic,coupe,2C3CDZAG1FH717436,0,0,0,0,0,0
"
2021-11-2714:45
",14777,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2016-dodge-grand/7413437709.html,2016 Dodge Grand Caravan,2016,100475,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,2C4RDGCG0GR265028,0,0,0,0,0,0
"
2021-12-1108:50
",2999,https://losangeles.craigslist.org/sfv/ctd/d/valencia-2001-volkswagen-beetle-passed/7419430006.html,2001 volkswagen beetle,2001,164000,excellent,4 cylinders,,gas,red,compact,clean,automatic,hatchback,,0,0,0,0,0,0
"
2021-11-2714:45
",29990,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2015-chevrolet/7413437856.html,2015 Chevrolet Silverado 1500,2015,101082,excellent,8 cylinders,rwd,gas,red,,clean,automatic,pickup,3GCPCREC9FG411172,0,0,0,0,0,0
"
2021-12-0515:02
",150,https://losangeles.craigslist.org/sfv/wtd/d/cooper-discoverer-lsx-plus-good-used/7416939134.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-0309:34
",0,https://losangeles.craigslist.org/sfv/mcy/d/oxnard-wanted-honda-cbx/7415939368.html, Honda  CBX, Hon,1,,,,gas,,,missing,manual,,,0,0,0,0,0,0
"
2021-11-2714:46
",14988,https://losangeles.craigslist.org/sfv/ctd/d/north-hollywood-2012-gmc-sierra-wd-crew/7413438017.html,2012 GMC Sierra 1500,2012,169703,excellent,8 cylinders,rwd,gas,black,,clean,automatic,pickup,3GTP1VE01CG288838,0,0,0,0,0,0
"
2021-11-2417:48
",1500,https://losangeles.craigslist.org/sfv/ctd/d/north-hills-2011-toyota-camry-se-68k/7412415014.html,2011 TOYOTA CAMRY SE,2011,68098,excellent,4 cylinders,fwd,gas,black,full-size,clean,automatic,sedan,JTNB11HK2J3049178,0,0,0,0,0,0
"
2021-12-1418:53
",300,https://orangecounty.craigslist.org/pts/d/santa-ana-new-tires/7420928651.html,,,,new,,,,,,,,,,Fireston,Fire hawk,185/55/15,0,0,0
"
2021-12-0115:56
",1,https://orangecounty.craigslist.org/vgm/d/orange-gameboy-advance-games/7415240493.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2117:32
",65,https://orangecounty.craigslist.org/wad/d/anaheim-wanted-mustang-1967-fastback/7423744855.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-0312:39
",0,https://inlandempire.craigslist.org/ele/d/pomona-christmas-selling-lot/7416049241.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-0317:01
",9000,https://ventura.craigslist.org/boa/d/thousand-oaks-hawk-bass-boat/7416165058.html,,,,excellent,,,,,,,,,,Hawk,0,0,18,power,1998
"
2021-12-2117:18
",8655,https://ventura.craigslist.org/ctd/d/pacoima-2007-ford-150-xl-managers/7423741295.html,2007 ford f150 xl,2007,233000,excellent,8 cylinders,rwd,gas,white,mid-size,clean,automatic,truck,1FTRX12W47FB42370,0,0,0,0,0,0
"
2021-12-2011:32
",3995,https://ventura.craigslist.org/ctd/d/santa-paula-1999-dodge-durango-4dr-4wd/7423188227.html,1999 Dodge Durango,1999,229836,good,8 cylinders,4wd,gas,black,,clean,automatic,SUV,1B4HS28Z2XF515145,0,0,0,0,0,0
"
2021-12-2011:30
",9995,https://ventura.craigslist.org/ctd/d/santa-paula-2001-toyota-tacoma/7423187230.html,2001 Toyota Tacoma,2001,224259,good,6 cylinders,rwd,gas,grey,,clean,automatic,pickup,5TEGN92N41Z870235,0,0,0,0,0,0
"
2021-12-2109:30
",5995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2003-bmw-z4-z4-2dr-roadster/7423540119.html,2003 BMW Z4,2003,176743,good,6 cylinders,rwd,gas,grey,,clean,automatic,convertible,4USBT33433LS46070,0,0,0,0,0,0
"
2021-12-2011:30
",7995,https://ventura.craigslist.org/ctd/d/santa-paula-2007-audi-q7-quattro-4dr/7423186963.html,2007 Audi Q7,2007,190902,excellent,6 cylinders,4wd,gas,grey,,clean,automatic,SUV,WA1BY94L37D063259,0,0,0,0,0,0
"
2021-12-2011:32
",5995,https://ventura.craigslist.org/ctd/d/santa-paula-1989-toyota-2wd-pickups/7423188110.html,1989 Toyota 2WD Pickups,1989,194062,good,6 cylinders,rwd,gas,white,full-size,clean,automatic,pickup,JT4VN93G9K0005422,0,0,0,0,0,0
"
2021-12-2011:31
",3500,https://ventura.craigslist.org/ctd/d/santa-paula-2008-scion-tc-2dr-hb-auto/7423187964.html,2008 Scion tC,2008,232492,excellent,4 cylinders,fwd,gas,grey,sub-compact,clean,manual,coupe,JTKDE167680245449,0,0,0,0,0,0
"
2021-12-2011:31
",4995,https://ventura.craigslist.org/ctd/d/santa-paula-2008-bmw-series-4dr-sdn/7423187842.html,2008 BMW 3-Series,2008,147198,good,6 cylinders,rwd,gas,black,compact,clean,automatic,sedan,WBAVA37548NL51978,0,0,0,0,0,0
"
2021-12-2011:31
",3500,https://ventura.craigslist.org/ctd/d/santa-paula-2002-mercedes-benz-class/7423187746.html,2002 Mercedes-Benz S-Class,2002,288500,excellent,8 cylinders,rwd,gas,grey,,clean,manual,sedan,WDBNG70JX2A315726,0,0,0,0,0,0
"
2021-12-2011:31
",5995,https://ventura.craigslist.org/ctd/d/santa-paula-2008-honda-odyssey-5dr-ex/7423187595.html,2008 Honda Odyssey,2008,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38668B110802,0,0,0,0,0,0
"
2021-12-2011:31
",5455,https://ventura.craigslist.org/ctd/d/santa-paula-2007-honda-odyssey-5dr-wgn/7423187479.html,2007 Honda Odyssey,2007,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38627B457512,0,0,0,0,0,0
"
2021-12-2011:30
",3995,https://ventura.craigslist.org/ctd/d/santa-paula-2002-acura-mdx-4dr-suv/7423187332.html,2002 Acura MDX,2002,260850,good,6 cylinders,4wd,gas,black,,clean,automatic,SUV,2HNYD18892H542570,0,0,0,0,0,0
"
2021-12-1910:16
",25,https://ventura.craigslist.org/wtd/d/panorama-city-goodyear-rs-used-tires/7422759495.html,,,,,,,,,,,,,,0,0,0,0,0,0
"
2021-12-2109:31
",3500,https://santabarbara.craigslist.org/ctd/d/santa-paula-2002-mercedes-benz-class/7423540770.html,2002 Mercedes-Benz S-Class,2002,288500,excellent,8 cylinders,rwd,gas,grey,,clean,manual,sedan,WDBNG70JX2A315726,0,0,0,0,0,0
"
2021-12-2109:32
",3995,https://santabarbara.craigslist.org/ctd/d/santa-paula-1999-dodge-durango-4dr-4wd/7423541317.html,1999 Dodge Durango,1999,229836,good,8 cylinders,4wd,gas,black,,clean,automatic,SUV,1B4HS28Z2XF515145,0,0,0,0,0,0
"
2021-12-2109:31
",5995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2008-honda-odyssey-5dr-ex/7423540617.html,2008 Honda Odyssey,2008,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38668B110802,0,0,0,0,0,0
"
2021-12-2109:32
",3500,https://santabarbara.craigslist.org/ctd/d/santa-paula-2008-scion-tc-2dr-hb-auto/7423540996.html,2008 Scion tC,2008,232492,excellent,4 cylinders,fwd,gas,grey,sub-compact,clean,manual,coupe,JTKDE167680245449,0,0,0,0,0,0
"
2021-12-2109:32
",5995,https://santabarbara.craigslist.org/ctd/d/santa-paula-1989-toyota-2wd-pickups/7423541174.html,1989 Toyota 2WD Pickups,1989,194062,good,6 cylinders,rwd,gas,white,full-size,clean,automatic,pickup,JT4VN93G9K0005422,0,0,0,0,0,0
"
2021-12-2109:31
",5455,https://santabarbara.craigslist.org/ctd/d/santa-paula-2007-honda-odyssey-5dr-wgn/7423540503.html,2007 Honda Odyssey,2007,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38627B457512,0,0,0,0,0,0
"
2021-12-2109:30
",3995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2002-acura-mdx-4dr-suv/7423540336.html,2002 Acura MDX,2002,260850,good,6 cylinders,4wd,gas,black,,clean,automatic,SUV,2HNYD18892H542570,0,0,0,0,0,0
"
2021-12-2109:31
",4995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2008-bmw-series-4dr-sdn/7423540876.html,2008 BMW 3-Series,2008,147198,good,6 cylinders,rwd,gas,black,compact,clean,automatic,sedan,WBAVA37548NL51978,0,0,0,0,0,0
"
2021-12-2109:30
",7995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2007-audi-q7-quattro-4dr/7423539979.html,2007 Audi Q7,2007,190902,excellent,6 cylinders,4wd,gas,grey,,clean,automatic,SUV,WA1BY94L37D063259,0,0,0,0,0,0
"
2021-12-2109:30
",9995,https://santabarbara.craigslist.org/ctd/d/santa-paula-2001-toyota-tacoma/7423540220.html,2001 Toyota Tacoma,2001,224259,good,6 cylinders,rwd,gas,grey,,clean,automatic,pickup,5TEGN92N41Z870235,0,0,0,0,0,0
"
2021-12-2209:01
",4995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2008-bmw-series-4dr-sdn/7423929943.html,2008 BMW 3-Series,2008,147198,good,6 cylinders,rwd,gas,black,compact,clean,automatic,sedan,WBAVA37548NL51978,0,0,0,0,0,0
"
2021-12-2209:01
",3500,https://bakersfield.craigslist.org/ctd/d/santa-paula-2002-mercedes-benz-class/7423929810.html,2002 Mercedes-Benz S-Class,2002,288500,excellent,8 cylinders,rwd,gas,grey,,clean,manual,sedan,WDBNG70JX2A315726,0,0,0,0,0,0
"
2021-12-2209:01
",5995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2008-honda-odyssey-5dr-ex/7423929652.html,2008 Honda Odyssey,2008,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38668B110802,0,0,0,0,0,0
"
2021-12-2209:01
",5455,https://bakersfield.craigslist.org/ctd/d/santa-paula-2007-honda-odyssey-5dr-wgn/7423929520.html,2007 Honda Odyssey,2007,201247,excellent,6 cylinders,fwd,gas,grey,,clean,automatic,mini-van,5FNRL38627B457512,0,0,0,0,0,0
"
2021-12-2209:02
",3995,https://bakersfield.craigslist.org/ctd/d/santa-paula-1999-dodge-durango-4dr-4wd/7423930437.html,1999 Dodge Durango,1999,229836,good,8 cylinders,4wd,gas,black,,clean,automatic,SUV,1B4HS28Z2XF515145,0,0,0,0,0,0
"
2021-12-2209:02
",5995,https://bakersfield.craigslist.org/ctd/d/santa-paula-1989-toyota-2wd-pickups/7423930284.html,1989 Toyota 2WD Pickups,1989,194062,good,6 cylinders,rwd,gas,white,full-size,clean,automatic,pickup,JT4VN93G9K0005422,0,0,0,0,0,0
"
2021-12-2209:01
",3500,https://bakersfield.craigslist.org/ctd/d/santa-paula-2008-scion-tc-2dr-hb-auto/7423930078.html,2008 Scion tC,2008,232492,excellent,4 cylinders,fwd,gas,grey,sub-compact,clean,manual,coupe,JTKDE167680245449,0,0,0,0,0,0
"
2021-12-2209:00
",3995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2002-acura-mdx-4dr-suv/7423929349.html,2002 Acura MDX,2002,260850,good,6 cylinders,4wd,gas,black,,clean,automatic,SUV,2HNYD18892H542570,0,0,0,0,0,0
"
2021-12-2209:00
",9995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2001-toyota-tacoma/7423929229.html,2001 Toyota Tacoma,2001,224259,good,6 cylinders,rwd,gas,grey,,clean,automatic,pickup,5TEGN92N41Z870235,0,0,0,0,0,0
"
2021-12-2209:00
",5995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2003-bmw-z4-z4-2dr-roadster/7423929108.html,2003 BMW Z4,2003,176743,good,6 cylinders,rwd,gas,grey,,clean,automatic,convertible,4USBT33433LS46070,0,0,0,0,0,0
"
2021-12-2209:00
",7995,https://bakersfield.craigslist.org/ctd/d/santa-paula-2007-audi-q7-quattro-4dr/7423928978.html,2007 Audi Q7,2007,190902,excellent,6 cylinders,4wd,gas,grey,,clean,automatic,SUV,WA1BY94L37D063259,0,0,0,0,0,0
