DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,number available,venue,make / manufacturer,model name / number,size / dimensions
"
2021-12-1112:25
",0,https://losangeles.craigslist.org/lac/tid/d/los-angeles-lakers-tickets-la-vs/7419546271.html,,,,,,,,,,,,,,10,Staples Center,0,0,0
"
2021-12-1010:30
",10,https://losangeles.craigslist.org/ant/tid/d/san-bernardino-clippers-tickets-los/7419053773.html,,,,,,,,,,,,,,50,Los Angeles Clippers Tickets,0,0,0
"
2021-11-2704:17
",0,https://orangecounty.craigslist.org/tid/d/los-angeles-sofi-stadium-tickets/7413156992.html,,,,,,,,,,,,,,20,SoFi Stadium,0,0,0
"
2021-12-0105:05
",0,https://losangeles.craigslist.org/lac/tid/d/inglewood-sofi-stadium-tickets-kenny/7414923380.html,,,,,,,,,,,,,,30,SoFi Stadium,0,0,0
"
2021-11-3006:30
",0,https://losangeles.craigslist.org/lac/tid/d/inglewood-sofi-stadium-tickets-red-hot/7414490538.html,,,,,,,,,,,,,,30,SoFi Stadium,0,0,0
"
2021-11-2710:49
",0,https://losangeles.craigslist.org/lac/tid/d/clippers-tickets-los-angeles-la-vs/7413324896.html,,,,,,,,,,,,,,30,Staples Center,0,0,0
"
2021-11-2713:31
",0,https://losangeles.craigslist.org/lac/tid/d/inglewood-sofi-stadium-tickets-the/7413406527.html,,,,,,,,,,,,,,30,SoFi Stadium,0,0,0
"
2021-11-2306:25
",0,https://losangeles.craigslist.org/lac/tid/d/clippers-tickets-los-angeles-la-vs/7411707377.html,,,,,,,,,,,,,,30,Staples Center,0,0,0
"
2021-12-1512:28
",1,https://orangecounty.craigslist.org/for/d/tustin-pyro/7421215201.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-1613:27
",40,https://orangecounty.craigslist.org/spo/d/huntington-beach-frontiersman-bear-safe/7408882847.html,,,,new,,,,,,,,,,0,0,Frontiersman/Sabre,FBS-100,18.9 x 9.2 x 6
"
2021-12-2111:26
",5000,https://inlandempire.craigslist.org/snw/d/murrieta-2001-yamaha-grizzly-600/7423600536.html,,,,excellent,,,,,,,,,,0,0,Yamaha,Grizzly 60”,0
"
2021-12-1422:50
",1234,https://inlandempire.craigslist.org/wad/d/rancho-cucamonga-wanted-classic-cars/7420968703.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0116:16
",900,https://inlandempire.craigslist.org/for/d/riverside-english-bulldog-stud/7415248044.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1423:04
",1,https://palmsprings.craigslist.org/wad/d/north-palm-springs-wanted-all-motorhome/7420970175.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1218:49
",900,https://ventura.craigslist.org/sys/d/camarillo-alienware-aurora-r7-8th-gen/7420046272.html,,,,like new,,,,,,,,,,0,0,Alienware,Aurora R7,0
"
2021-10-2416:18
",100,https://ventura.craigslist.org/tls/d/ventura-jointer-woodworking-tool/7398703342.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-2016:29
",1200,https://palmsprings.craigslist.org/tls/d/joshua-tree-grizzly-g0771z-table-saw/7423315382.html,cryptocurrency ok,cryp,,like new,,,,,,,,,,0,0,Grizzly,G0771Z,40x27
"
2021-11-1415:11
",39,https://bakersfield.craigslist.org/for/d/cantil-lifetime-28-quart-cooler-days-ice/7408020115.html,,,,excellent,,,,,,,,,,0,0,0,0,0
