DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,mobile OS,make / manufacturer,model name / number,size / dimensions
"
2021-12-2216:12
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-90-78x50-uv-proof-green/7424117762.html,,,,new,,,,,,,,,,0,247garden,"90% 7'8""X50' Shade Net","7'8""X50'"
"
2021-12-2215:48
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-90-58x50-uv-proof-green/7424109987.html,,,,new,,,,,,,,,,0,247garden,"90% 5'8""X50' Shade Net","5'8""X50'"
"
2021-12-2215:34
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-70-20x100-uv-proof-green/7424105298.html,,,,new,,,,,,,,,,0,247garden,70% 20X100' Shade Net,20X100'
"
2021-12-2215:33
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-247garden-4x100-feet-ground/7424105264.html,,,,new,,,,,,,,,,0,247garden,4x100 Feet Ground Cover,4x100 Feet
"
2021-12-2215:24
",40,https://losangeles.craigslist.org/wst/clo/d/downey-vans-uv-true-white-authentics/7424101901.html,,,,,,,,,,,,,,0,Vans,0,0
"
2021-11-2214:21
",120,https://losangeles.craigslist.org/sgv/grd/d/rowland-heights-10000l-koi-pond/7411509309.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-3016:26
",20,https://losangeles.craigslist.org/sgv/grd/d/rowland-heights-uv-light-electric/7414797303.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2207:44
",70,https://losangeles.craigslist.org/wst/ele/d/culver-city-homesoap-uv-sanitizer/7411292550.html,,,,new,,,,,,,,,,0,HomeSoap,0,0
"
2021-12-2203:17
",0,https://losangeles.craigslist.org/sgv/grd/d/montebello-90-58x150-uv-proof-green/7423819920.html,,,,new,,,,,,,,,,0,247garden,"90% 5'8""X150' Shade Net","5'8""X150'"
"
2021-12-0622:42
",450,https://losangeles.craigslist.org/sfv/for/d/castaic-large-uv-sterilizer/7417518056.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1720:25
",15,https://losangeles.craigslist.org/wst/hab/d/los-angeles-homedics-uv-clean-portable/7422210721.html,,,,like new,,,,,,,,,,0,HoMedics,Universal,0
"
2021-11-2111:31
",15,https://losangeles.craigslist.org/sgv/hab/d/south-el-monte-new-nail-polish-dryer/7410994223.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-3013:32
",29995,https://losangeles.craigslist.org/lgb/bfs/d/signal-hill-cet-hybrid-uv-press-q5-250h/7414723003.html,,,,excellent,,,,,,,,,,0,CET,"Q5-250H UV 64"" Hybrid Printer.",0
"
2021-12-2116:19
",15,https://losangeles.craigslist.org/sgv/mob/d/west-covina-uv-phone-sanitizer-with/7423723524.html,,,,new,,,,,,,,,,other,0,0,0
"
2021-12-1909:53
",35,https://losangeles.craigslist.org/lac/ele/d/los-angeles-vhs-tape-rewinder/7422749365.html,,,,excellent,,,,,,,,,,0,Kinyo,UV 413,0
"
2021-12-0713:27
",49,https://losangeles.craigslist.org/sfv/hab/d/woodland-hills-msd-208-uv-light/7417808508.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1612:00
",40,https://losangeles.craigslist.org/wst/msg/d/san-pedro-evans-uv-emad-22-bass-drum/7421616864.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0109:59
",100,https://losangeles.craigslist.org/wst/msg/d/lawndale-american-dj-uv-canon/7415062181.html,,,,new,,,,,,,,,,0,American DJ,UV CANON   B0002DNW6E,15H x 13.75W x 14.25D
"
2021-12-2112:35
",20,https://losangeles.craigslist.org/lac/hsh/d/studio-city-new-uv-shoe-sanitizer/7423633718.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2919:11
",100,https://losangeles.craigslist.org/wst/hab/d/los-angeles-new-baby-uv-sanitizer-large/7414385754.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2021:29
",70,https://losangeles.craigslist.org/wst/hsh/d/culver-city-envion-therapure-tpp640s-uv/7423384302.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-3017:52
",20,https://losangeles.craigslist.org/sgv/pho/d/rowland-heights-marumi-55mm-super-dhg/7414826508.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-0113:07
",21,https://losangeles.craigslist.org/lac/ele/d/pasadena-baofeng-uv-5r/7415165810.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1811:42
",5,https://losangeles.craigslist.org/sgv/hab/d/south-el-monte-sun-visor-uv-blocking/7422442173.html,,,,new,,,,,,,,,,0,Go! Med!,SM-806,"5""x5""x5"""
"
2021-12-1809:06
",10,https://losangeles.craigslist.org/wst/pho/d/los-angeles-vivitar-multi-coated-lens/7422359480.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-11-2712:50
",30,https://losangeles.craigslist.org/wst/hsh/d/lomita-uv-light-sanitizer-box-kills/7413387848.html,,,,new,,,,,,,,,,0,HOME SANITIZER SOLUTIONS,0,0
"
2021-12-2013:37
",100,https://losangeles.craigslist.org/lac/bab/d/los-angeles-upang-plus-uv-bottle/7423249318.html,,,,like new,,,,,,,,,,0,UPANG,Upang Plus,14 x 13 x 17.5
"
2021-12-0918:17
",790,https://losangeles.craigslist.org/sfv/pho/d/encino-canon-m50-two-lenses-adapter/7418811639.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-1809:07
",10,https://losangeles.craigslist.org/wst/pho/d/los-angeles-uv-protection-circular/7422359880.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2908:57
",20,https://losangeles.craigslist.org/wst/hsh/d/torrance-vcr-tape-rewinder-kinyo/7414093301.html,,,,like new,,,,,,,,,,0,Kinyo,UV-520,"11"" x 5"" x 2.25"""
"
2021-12-1920:08
",199,https://losangeles.craigslist.org/sfv/hab/d/encino-uv-light-for-skin/7422949379.html,,,,new,,,,,,,,,,0,Kernel,KN-4003,0
"
2021-12-1918:34
",20,https://losangeles.craigslist.org/lac/mob/d/los-angeles-wireless-charger-uv/7422930510.html,,,,new,,,,,,,,,,other,Lexon,Oblio,0
"
2021-12-0516:24
",10,https://losangeles.craigslist.org/wst/hab/d/santa-monica-uv-light-sanitizer-wand/7416967280.html,,,,new,,,,,,,,,,0,Ontel,0,0
"
2021-11-2009:26
",11,https://losangeles.craigslist.org/sgv/ele/d/monterey-park-uv-sanitizer-charger-for/7410533915.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-0202:15
",0,https://losangeles.craigslist.org/sfv/hab/d/tarzana-anti-virus-anti-bacterial-254/7415354432.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2221:44
",18,https://losangeles.craigslist.org/sfv/hab/d/encino-sanitizer-uv-wand-kills-germs/7411636783.html,,,,new,,,,,,,,,,0,0,0,13.5”
"
2021-12-1815:00
",89,https://losangeles.craigslist.org/wst/hsh/d/santa-monica-home-soap-uv-sanitizer/7422526570.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1813:58
",50,https://losangeles.craigslist.org/sfv/ele/d/burbank-new-phonesoap-pro-uv-smartphone/7422502976.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0414:15
",35,https://losangeles.craigslist.org/wst/hab/d/los-angeles-coating-machine-uv/7416542742.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2409:39
",25,https://losangeles.craigslist.org/sgv/app/d/awoco-w-small-portable-indoor-fly-trap/7412224767.html,,,,new,,,,,,,,,,0,AWOCO,0,0
"
2021-11-2409:47
",90,https://losangeles.craigslist.org/sgv/app/d/awoco-45-wall-mount-sticky-fly-trap/7412228862.html,,,,new,,,,,,,,,,0,AWOCO,0,0
"
2021-12-1621:47
",45,https://losangeles.craigslist.org/wst/ele/d/los-angeles-phone-soap-30-uv-santizer/7421802256.html,,,,excellent,,,,,,,,,,0,Phone Soap,3.0,5” x 8.5” x 2”
"
2021-12-1613:42
",2400,https://losangeles.craigslist.org/sfv/hab/d/canoga-park-accuvein-av400-portable-uv/7421665745.html,,,,excellent,,,,,,,,,,0,Accuvein,AV400,0
"
2021-12-1613:42
",1700,https://losangeles.craigslist.org/sfv/hab/d/canoga-park-accuvein-av300-portable-uv/7421665700.html,,,,excellent,,,,,,,,,,0,Accuvein,0,0
"
2021-12-1015:18
",45,https://losangeles.craigslist.org/sfv/spo/d/encino-vintage-binoculars-sans-streiffe/7419196597.html,,,,like new,,,,,,,,,,0,SANS & STREIFFE,979,"8"" x 5.5"""
"
2021-12-0813:56
",210,https://losangeles.craigslist.org/ant/mpo/d/palmdale-scorpion-exo-at950-full-face/7418272656.html,,,,new,,,,,,,,,,0,Scorpion,EXO-AT950,0
"
2021-12-2315:52
",30,https://losangeles.craigslist.org/sfv/hsh/d/burbank-sharper-image-design-air/7424481418.html,,,,excellent,,,,,,,,,,0,Sharper Image,Model SI362,0
"
2021-12-2315:44
",2900,https://losangeles.craigslist.org/wst/pho/d/santa-monica-leica-35mm-summicron-asph/7424479345.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-1920:37
",150,https://losangeles.craigslist.org/lac/bab/d/los-angeles-uppababy-vista/7422954370.html,,,,good,,,,,,,,,,0,Uppababy,Vista,0
"
2021-12-0310:19
",780,https://losangeles.craigslist.org/lac/art/d/montrose-emile-bellet-luxury-and-fancy/7415967999.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-11-2614:49
",150,https://losangeles.craigslist.org/sgv/spo/d/rowland-heights-roto-molded-60qt/7413021992.html,,,,new,,,,,,,,,,0,0,CRS503804,0
"
2021-12-1411:56
",150,https://losangeles.craigslist.org/sgv/for/d/rowland-heights-portable-pro-roto/7420766803.html,,,,new,,,,,,,,,,0,0,CRS503804,0
"
2021-12-2314:17
",100,https://losangeles.craigslist.org/lac/for/d/los-angeles-ultraview-uv3-hunting-kit/7424452359.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-0907:21
",400,https://losangeles.craigslist.org/wst/fuo/d/santa-monica-kettler-roma-lounger-patio/7418504335.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-1323:31
",80,https://losangeles.craigslist.org/wst/hab/d/los-angeles-large-assortment-of-health/7420536082.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-2313:24
",225,https://losangeles.craigslist.org/ant/spo/d/palmdale-lifetime-54-inch-polycarbonate/7424433446.html,,,,good,,,,,,,,,,0,Lifetime,Competition 54,0
"
2021-12-2313:22
",450,https://losangeles.craigslist.org/wst/pho/d/los-angeles-panasonic-dvx100-with/7424432703.html,,,,good,,,,,,,,,,0,Panasonic,DVX100,0
"
2021-12-1511:03
",359,https://losangeles.craigslist.org/sgv/ele/d/south-el-monte-uhf-310-professional/7421172260.html,delivery available,deli,,new,,,,,,,,,,0,IDOLPRO,UHF-310,0
"
2021-12-2313:19
",299,https://losangeles.craigslist.org/lac/ele/d/south-el-monte-adj-stinger-ii-fx-in-led/7424431583.html,delivery available,deli,,new,,,,,,,,,,0,ADJ,STINGER II,0
"
2021-12-0912:33
",50,https://losangeles.craigslist.org/lac/pho/d/los-angeles-camera-filters-series-for/7418675482.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2917:06
",1280,https://losangeles.craigslist.org/ant/for/d/santa-ana-portable-vacuum-system-1hp/7414347776.html,,,,new,,,,,,,,,,0,Advantage Manufacturing,Mini Vac 11,0
"
2021-12-0822:32
",5,https://losangeles.craigslist.org/sfv/hab/d/north-hollywood-new-moroccan-gold/7418418711.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-0912:04
",150,https://losangeles.craigslist.org/sgv/clo/d/pomona-new-in-box-tom-ford-cat-eye/7418660020.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1812:51
",50,https://losangeles.craigslist.org/lac/hsh/d/los-angeles-missing-the-sun-circadian/7422474468.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-2310:34
",300,https://losangeles.craigslist.org/wst/pho/d/los-angeles-nikon-af-nikkor-50mm-14g/7424363341.html,,,,excellent,,,,,,,,,,0,Nikon,NIKKOR 50mm f/1.4G Lens,0
